delta,theta,alpha,beta,gama,Color
25.7087511536,4.09648769143,-2.21254619433,9.12813876113,0.0863147635904,blue
26.947792636,4.32000365121,-4.36796786326,12.0811588448,-0.428531303733,blue
28.1834131063,4.43406139094,-6.081548347,11.4791284209,2.9054120864,blue
29.4117161308,4.42752852039,-7.17415044191,7.48301219835,2.85808471044,blue
30.6285106514,4.29258347707,-7.52740898154,1.29738318589,-3.63572912015,blue
31.8293285851,4.02526507428,-7.09824552327,-5.03502585362,-9.98647332582,blue
33.0094497906,3.62590230399,-5.92589579495,-9.20397489601,-7.43716497661,blue
34.1639385658,3.09940130904,-4.13025795261,-9.4454463133,3.48868014747,blue
35.2876949706,2.45537094874,-1.90131660681,-5.31492084494,12.2521272333,blue
36.3755218584,1.7080722333,0.519552686885,1.933598612,9.90309748187,blue
37.422204222,0.876179780346,2.8645762594,9.61698526877,-0.811144012178,blue
38.4225906626,-0.0176551512329,4.8682002233,14.5356669788,-8.9161327969,blue
39.3716645389,-0.947443149711,6.29617979,14.2367894011,-7.61886147463,blue
40.2646003189,-1.88468109734,6.97198191766,8.14583189242,-0.717634226149,blue
41.0968100988,-2.79932729899,6.79767655402,-1.9533418644,3.40590281467,blue
41.8639860135,-3.66088301501,5.76699700509,-12.4317411337,1.61139682597,blue
42.5621400361,-4.43953457992,3.96894564779,-19.2370008091,-1.71709042535,blue
43.1876416684,-5.107307741,1.58125853351,-19.6383060029,-0.964362448116,blue
43.7372547297,-5.6391838346,-1.14588998838,-13.4671569103,3.94838022213,blue
44.2081723824,-6.01413054488,-3.9145280281,-3.23156425388,7.3814342552,blue
44.5980474522,-6.21600517164,-6.40953028774,6.98220058395,4.0404753821,blue
44.9050158302,-6.23429237464,-8.33217585143,13.3210255285,-4.93396596744,blue
45.1277133496,-6.06464207833,-9.43307520571,13.8427927666,-12.0245724304,blue
45.2652890587,-5.70917858885,-9.5408561283,9.27492329728,-10.0538947261,blue
45.317416907,-5.17656228318,-8.58338049128,2.50679031732,0.558725195184,blue
45.2843049174,-4.48179854921,-6.59903369235,-2.91369762321,11.4102958345,blue
45.1667007739,-3.64579932783,-3.73664182138,-4.51442545462,13.6079859737,blue
44.9658947179,-2.69471087615,-0.243736385615,-2.00401211751,5.84425338354,blue
44.6837216925,-1.65903004088,3.55587995668,2.75656681315,-5.05680546986,blue
44.3225633183,-0.572541597461,7.29312988495,6.82322192052,-11.0542247879,blue
43.8853468282,0.528879771772,10.5900956535,7.68115708544,-9.49945038639,blue
43.3755357711,1.60855145778,13.0981329827,4.44527617094,-3.30078753406,blue
42.7971083218,2.63029547243,14.5337211114,-1.78038628933,3.40122791742,blue
